net,length_um
net220,8.6
_0791_,8.56
uart_rx_raspi_inst.data_reg\[0\],8.56
uart_rx_raspi_inst.prescale_reg\[11\],8.56
_0874_,8.54
_0160_,8.525
_0463_,8.5
_0251_,8.48
uart_rx_raspi_inst.data_reg\[7\],8.48
_0245_,8.46
net105,8.44
uart_rx_jetson_inst.prescale_reg\[7\],8.43
_0591_,8.42
_0658_,8.4
_0950_,8.4
net185,8.4
_0838_,8.36
net237,8.36
_0149_,8.345
net68,8.34
net192,8.34
_0008_,8.28
_0012_,8.28
net20,8.275
_0124_,8.26
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[17\],8.24
uart_tx_raspi_inst.prescale_reg\[2\],8.24
_0215_,8.22
_0446_,8.12
_0331_,8.1
_0578_,8.1
_0595_,8.1
_0679_,8.1
net40,8.1
_0161_,8.085
_0828_,8.08
_0269_,8.065
_1014_,8.06
_0802_,8.04
net30,8.02
_0715_,7.98
_0768_,7.98
_0580_,7.96
_0957_,7.96
_0336_,7.94
_0946_,7.94
net92,7.94
_0665_,7.88
_0429_,7.86
_0771_,7.86
net28,7.86
_0010_,7.82
_0466_,7.82
_0982_,7.82
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[15\],7.78
net39,7.75
net211,7.74
net214,7.74
_0317_,7.7
net94,7.68
net197,7.68
_0435_,7.64
_0254_,7.605
_0538_,7.6
_0444_,7.58
_0777_,7.58
_0188_,7.565
_0698_,7.56
_0232_,7.52
uart_rx_raspi_inst.prescale_reg\[6\],7.52
_0366_,7.48
_0716_,7.48
_0433_,7.46
_0450_,7.44
_0688_,7.42
_0267_,7.4
_0948_,7.4
_0421_,7.38
_0173_,7.365
_0576_,7.32
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[19\],7.32
_0751_,7.28
_0677_,7.24
_0513_,7.22
_0523_,7.22
net208,7.22
_0225_,7.18
_0400_,7.18
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[5\],7.18
net176,7.18
_0143_,7.165
_0174_,7.165
_0183_,7.165
_0395_,7.14
_0448_,7.12
_0644_,7.12
_0279_,7.105
_0239_,7.1
_0530_,7.1
_0625_,7.1
_0660_,7.1
_0778_,7.1
net45,7.1
net70,7.1
_0352_,7.08
_0029_,7.06
_0582_,7.06
_0881_,7.06
_1006_,7.06
uart_tx_jetson_inst.prescale_reg\[2\],7.06
_0867_,7.04
_0763_,7
net120,7
_0492_,6.98
_0566_,6.945
_0031_,6.94
_0135_,6.94
_0307_,6.94
_0585_,6.94
_0719_,6.92
_0004_,6.9
_0426_,6.9
_0271_,6.885
net131,6.88
_0526_,6.86
_0553_,6.84
_0975_,6.84
net188,6.82
_0937_,6.8
_0403_,6.76
_0445_,6.76
_0568_,6.76
_0584_,6.76
net141,6.76
_0905_,6.74
_0354_,6.72
_0365_,6.72
_0765_,6.72
_0789_,6.72
_0958_,6.72
net236,6.72
_0262_,6.685
_0903_,6.68
net160,6.66
_0198_,6.645
_0356_,6.64
_0489_,6.64
_0710_,6.64
rst_cnt\[6\],6.62
_0437_,6.6
uart_tx_raspi_inst.prescale_reg\[3\],6.6
net117,6.6
_0695_,6.58
_0770_,6.58
_0870_,6.56
_0248_,6.54
_0342_,6.52
_0928_,6.52
net69,6.52
net151,6.52
_0951_,6.5
_0136_,6.485
_0598_,6.48
_0118_,6.465
_0680_,6.44
_0732_,6.44
_0773_,6.44
_0837_,6.42
_1010_,6.42
_0424_,6.4
_0708_,6.4
net37,6.4
_0978_,6.38
net145,6.36
_0214_,6.3
_0299_,6.3
_0517_,6.3
_0601_,6.3
net205,6.3
_0072_,6.28
_0282_,6.28
_0692_,6.28
_0432_,6.26
_0483_,6.26
txd_raspi,6.21
_0384_,6.2
_0641_,6.2
_0441_,6.18
uart_tx_raspi_inst.prescale_reg\[9\],6.18
net222,6.18
_0687_,6.16
_0016_,6.14
_0567_,6.14
_0894_,6.14
